模型,Accuracy,Accuracy,MacroF1,MacroF1,Kappa,Kappa
,mean,std,mean,std,mean,std
Logistic,0.4306,0.0405,0.3135,0.0412,0.1723,0.0486
XGBoost,0.377,0.0328,0.2893,0.0388,0.1091,0.0466
