F1,F2,F3,F4,composite
-0.3858,-0.4263,0.2919,-0.8784,-0.3577
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
1.8497,2.0422,-1.7558,-1.0437,0.5958
-0.0991,-0.1453,-0.8014,-1.338,-0.5023
1.6297,1.554,0.4293,-1.0353,0.8326
0.7894,1.2464,-1.1583,-0.9674,0.1768
0.4947,-0.1601,-1.8605,-1.6255,-0.5988
1.7859,0.7899,-1.5872,-0.7026,0.3118
0.7503,-2.1713,1.2956,-0.4886,-0.2408
1.0757,-0.3015,-1.8967,-1.5705,-0.4598
1.097,1.2089,-2.3721,-0.1112,0.1826
1.5935,1.3485,-1.2371,-0.9697,0.435
1.9788,0.9244,-2.1884,-1.728,0.0834
1.6976,1.7252,-0.8285,0.2881,0.9106
-0.0815,-0.1566,-0.0027,0.2526,-0.0209
0.6494,0.0606,-0.0654,0.0363,0.2093
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
-0.578,0.0626,0.204,0.8823,0.0596
1.2233,1.4463,-1.2072,-0.8789,0.3751
-0.5222,-0.988,1.9444,0.2902,0.0055
-0.8456,0.3996,0.0699,-0.5506,-0.2357
0.552,0.9509,-1.6108,-1.7285,-0.2256
-0.7567,-1.425,-1.261,-0.6955,-1.0429
-1.6502,-1.8319,-0.5194,-0.3809,-1.2204
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
-0.7371,-1.1902,-0.6846,-0.5141,-0.8147
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
1.9863,0.8475,-1.5207,-1.4631,0.2519
-0.7062,-0.7409,-1.6292,-1.4381,-1.0501
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
-1.7671,-1.7443,-0.9409,-0.5001,-1.3399
-0.6201,-0.8021,-0.7441,-1.1545,-0.805
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
1.1987,0.9841,-1.6392,-1.7541,-0.0299
1.8064,2.0254,-2.2223,-1.8618,0.3198
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
1.3808,1.3498,1.4259,1.8022,1.4648
1.7557,1.8648,-0.5677,0.0654,0.978
0.2,-0.3882,0.0312,0.229,-0.0009
0.6016,0.0014,-1.2132,-1.1446,-0.2914
-1.1029,-1.9432,-0.2501,0.219,-0.9122
1.4807,1.0545,-2.0544,-1.7789,-0.013
1.5508,0.7977,0.8984,0.8404,1.056
1.8602,0.0335,0.6386,-0.8484,0.5373
0.9588,-0.229,0.7268,-1.7969,0.0152
0.2936,-0.6416,-1.4413,-1.2885,-0.6486
0.4645,0.274,0.0857,0.6163,0.3618
1.1206,-1.9542,0.0424,0.2344,-0.1759
-0.6721,-1.4802,-0.1486,-1.0162,-0.8706
0.4625,-0.8647,-0.0804,0.7956,0.0295
0.3227,0.3022,0.1231,-0.4322,0.1258
0.9226,-1.7054,0.8834,-0.2233,-0.0831
-0.0363,-1.1069,1.2887,-0.6734,-0.2067
0.8006,0.0359,0.7765,1.0434,0.6201
-1.4928,1.786,-1.3583,1.9373,0.1775
-0.764,0.2358,1.7104,-0.3756,0.1101
0.2433,0.7917,0.4401,-0.0761,0.3804
-1.1383,0.9663,-1.1441,2.2963,0.1605
-1.8061,1.4352,-1.3368,-1.4256,-0.6856
-1.963,1.896,-0.8578,1.4032,0.0622
0.4383,-0.0579,-0.4368,-1.0548,-0.1824
0.413,0.6685,0.8267,0.6599,0.6212
-0.0424,-1.3864,1.0846,-0.2327,-0.2443
1.5389,1.3882,-0.2625,0.0892,0.8393
-0.2294,-0.5626,-1.0568,-1.3874,-0.726
0.8309,0.8166,0.4282,-1.1753,0.3454
-0.8126,-0.9098,-0.7171,-0.5221,-0.7638
0.6497,0.5966,0.7116,1.0274,0.7219
0.7389,0.8012,0.5722,-0.4424,0.4881
0.2467,0.1373,0.7921,1.0433,0.4843
-0.0815,-0.1566,-0.0027,0.2526,-0.0209
1.0451,0.6931,0.8621,1.3846,0.9723
1.457,0.9551,-0.2867,-0.7033,0.5249
0.6497,0.5966,0.7116,1.0274,0.7219
1.6501,1.8209,-0.1776,-1.2716,0.7463
1.6281,0.8773,-0.8962,-0.9978,0.3714
-0.0239,0.2473,-0.6086,-0.7219,-0.2025
0.3389,0.9294,0.9279,0.5094,0.6658
0.3881,-0.981,-0.1167,-0.1417,-0.2211
-0.061,-0.0286,1.7101,-1.6187,-0.0008
0.5614,0.4466,1.4821,1.2587,0.8541
-1.6084,-1.6501,-1.2037,-0.9458,-1.4063
1.6391,1.0126,1.2099,-0.3363,0.975
-0.6337,-0.5378,1.0576,-0.9288,-0.3198
0.1008,-0.3474,-0.3318,-0.1643,-0.1713
1.3808,1.3498,1.4259,1.8022,1.4648
0.5042,-0.1608,-1.6462,-1.1112,-0.4501
0.6651,-0.2491,0.8961,1.2268,0.5562
0.627,-0.2597,-1.7826,-0.2194,-0.2919
1.8932,1.1629,-1.1965,-0.8163,0.5107
-0.2666,-0.1441,-1.5663,0.1553,-0.4115
1.1646,0.3453,-1.912,-0.4353,-0.0205
0.714,-0.6129,-1.2528,-0.1022,-0.2377
1.1142,-0.3173,-1.0717,0.0971,0.0473
0.7917,0.6849,0.7593,0.2063,0.6373
-0.1504,0.3923,-0.8402,-1.0158,-0.3042
0.8736,-0.7026,-0.4996,1.3845,0.234
0.4579,0.6303,0.7002,-0.0256,0.4615
0.7201,0.5408,1.2194,0.813,0.7878
-0.189,-0.0462,-0.4492,0.3632,-0.0903
0.2605,-0.2061,-1.8373,0.2781,-0.3
0.7105,0.1097,-0.4779,-0.61,0.0296
0.7016,0.6439,-0.1354,-0.0999,0.3547
0.6573,-0.0592,-0.954,-0.8511,-0.181
0.7538,0.8055,-0.8293,0.9814,0.4918
0.5851,0.6095,0.9394,1.3785,0.8223
0.6497,0.5966,0.7116,1.0274,0.7219
-0.1685,1.1776,0.7732,0.3241,0.5156
0.2174,-0.1112,0.8433,1.1555,0.4354
-0.0496,-0.1975,0.2535,-0.0213,-0.0255
0.025,0.2307,0.9429,0.6361,0.3938
0.4788,-1.0666,0.7565,0.1484,0.017
0.7205,0.3407,0.756,1.0288,0.6779
0.6459,0.4527,0.9273,0.0084,0.5198
0.1682,0.6909,0.9602,0.2601,0.5009
0.9659,0.078,0.5072,0.7241,0.5643
0.6433,0.1674,0.8212,-0.7038,0.272
0.7065,0.0256,0.3438,0.7202,0.4359
0.7098,0.3757,0.2085,1.5444,0.676
0.2317,0.1169,1.407,0.0466,0.4007
0.95,0.425,0.918,-0.1009,0.5806
0.7145,-0.4288,-0.1833,0.7706,0.208
1.2821,0.5255,0.3761,0.4024,0.7009
0.9219,-0.4905,-0.7042,0.1551,0.0244
0.1712,0.4193,0.3907,-0.4685,0.1612
0.5404,-0.1123,0.3743,0.9732,0.4015
0.7137,0.3292,0.3851,0.5946,0.5105
0.449,-0.3155,-0.136,0.8889,0.1935
-1.7351,1.1266,-0.8577,2.1875,0.0625
-1.7256,-0.7495,-0.5691,-0.5925,-0.9786
-1.6896,1.4105,-0.3018,1.507,0.1372
-1.7465,1.1752,-1.943,1.5037,-0.284
-0.2876,-1.3243,1.3307,-0.8702,-0.3775
0.0307,-0.3144,0.8959,1.1171,0.3221
-0.1879,-0.3255,0.9093,1.1686,0.2653
-1.5528,1.8043,1.4198,-2.0624,-0.0656
0.9077,-0.3069,-0.1228,0.2521,0.2116
0.0701,-0.0141,-1.0089,1.4537,0.101
-0.8874,1.4256,-0.0347,0.0024,0.1408
-1.3934,1.9792,1.2834,-1.6422,0.09
0.848,-0.0609,1.5923,-0.9536,0.3749
0.4898,0.1386,0.9926,0.346,0.4608
-1.2845,1.039,0.8962,-0.4065,0.0149
0.6016,0.1948,0.5712,0.2775,0.4118
0.9689,-0.7524,0.3542,0.4929,0.2448
-0.9194,0.179,1.8558,1.9779,0.5442
0.9311,-2.7655,1.8621,2.4221,0.335
0.1605,0.6878,0.7752,0.9764,0.6025
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
0.2163,0.1593,0.4815,0.876,0.385
1.3808,1.3498,1.4259,1.8022,1.4648
0.2836,-1.5077,-2.0403,2.4336,-0.2864
0.1262,0.0371,-0.8335,-1.0933,-0.3381
-1.6808,0.9879,-0.8493,1.504,-0.096
-1.3906,0.5117,0.2004,1.0462,-0.0244
0.2159,0.143,0.1478,1.0102,0.3388
-1.9872,1.7796,1.9593,-1.3907,0.0385
-1.5438,-1.663,-1.4314,-1.2969,-1.5067
0.509,-0.1382,0.5722,0.8091,0.392
0.2772,-0.1182,1.0024,0.4499,0.3435
-1.77,1.128,2.1858,-0.4829,0.1406
0.332,-0.5637,1.1371,-0.3832,0.0913
-1.9236,1.1863,1.8301,-1.2403,-0.1122
0.7692,-1.2071,-0.8794,2.1401,0.1275
-0.4284,0.1886,0.8211,-0.0829,0.0756
1.5494,0.737,1.3773,-1.8309,0.6036
0.4058,0.0314,0.066,0.8134,0.3081
-0.6814,0.1844,-0.6098,1.4817,0.0173
0.4444,0.2372,0.1048,0.9302,0.4113
-1.1163,0.7889,-0.4403,2.1551,0.2305
0.7998,0.1635,0.0594,0.882,0.479
-0.7947,-0.6201,0.0481,0.6056,-0.2932
-1.8356,1.5072,-0.5902,1.7362,0.1079
0.712,-1.7717,-0.1122,0.2907,-0.2671
-0.8194,-0.5842,-1.1277,1.4686,-0.3579
0.2907,-0.7706,0.0609,0.3357,-0.058
-0.1536,-0.3098,0.1781,0.6781,0.0338
-1.5408,0.6903,0.2413,-0.2307,-0.2636
-1.3335,-0.2823,1.4489,-0.2851,-0.2502
0.2664,-0.0464,0.4623,0.5971,0.2805
-0.6133,0.3634,-0.4298,0.2187,-0.1243
-1.029,1.2896,-1.3978,1.3555,0.0495
0.7659,-0.1975,0.9659,0.4184,0.4553
0.963,-1.2526,-0.5024,0.9183,0.0068
-1.7268,1.4106,-0.8146,1.3985,-0.0001
0.932,-1.3075,-0.14,0.2419,-0.0796
-1.2232,1.1295,1.2993,-1.2803,-0.0317
0.2428,-1.3733,0.504,0.3522,-0.1555
-1.3387,0.7471,-1.013,0.7885,-0.2381
0.729,-0.0681,0.2507,0.2943,0.3116
0.9483,-1.4874,0.1645,0.2607,-0.0615
0.3322,0.0806,0.9832,0.3388,0.3924
0.358,0.0862,-0.0559,0.1534,0.1533
-0.2197,0.0004,1.8379,-1.7413,-0.039
0.2726,0.012,0.0692,1.003,0.3003
-0.2139,-0.5014,0.278,0.6234,-0.0312
-1.276,0.3172,1.1104,-0.1471,-0.0986
0.8062,-1.5384,0.2753,1.1505,0.08
0.0228,0.2846,0.5129,0.4993,0.2941
-1.5779,1.2418,1.0899,-0.7668,-0.0473
0.702,-1.1917,0.1613,1.1558,0.1276
-1.368,0.8467,1.1542,0.3595,0.1382
-0.9773,0.3546,0.2603,0.1889,-0.1031
-1.4288,0.6145,1.5046,-0.3984,-0.0278
0.2617,-1.3952,0.3402,0.7945,-0.1015
-0.5905,0.4999,-0.2388,1.3382,0.1844
0.4601,-1.0224,0.9084,-0.0495,0.0158
-0.995,-0.5212,-0.6012,0.5369,-0.4711
0.8535,-1.4463,-0.4288,1.1408,-0.024
-0.2954,-0.8852,0.7407,0.0542,-0.1875
-1.1415,0.5239,-0.5618,0.2741,-0.2539
-0.4606,0.1213,0.9495,-0.8651,-0.0835
-0.1063,-0.5898,-0.3445,0.1629,-0.2428
-0.3157,-0.1209,0.0664,0.8925,0.0597
-1.654,0.5658,1.9074,1.9591,0.4407
-0.109,-0.896,0.5972,-0.6019,-0.2937
1.0465,-1.357,-0.8406,-1.1637,-0.4817
0.0013,0.4927,1.1428,-0.9153,0.1953
0.5666,-1.4801,0.3922,0.4991,-0.0817
-1.0359,0.7601,-1.1279,1.0103,-0.1214
0.2299,-0.6413,-0.4669,1.0227,-0.0094
-1.0173,0.6977,-1.1898,0.6639,-0.2155
-0.4463,-0.2116,0.4455,0.2568,-0.056
-1.0445,-0.1617,-0.9799,0.2908,-0.507
-0.5723,-0.0672,-0.1276,0.1611,-0.1878
0.6811,-1.1463,-0.6265,0.0055,-0.2549
-1.2958,-1.1243,-0.5439,-0.5283,-0.9397
-0.7568,0.4986,0.2276,-0.2329,-0.0844
0.5046,-1.2102,-0.1672,0.4886,-0.1376
-0.0806,-0.2254,1.562,-0.2592,0.176
-1.274,0.6745,0.7641,0.3831,0.0416
0.8185,-0.9704,-0.169,1.066,0.1427
-0.4314,0.1679,1.4054,-0.9882,0.0074
-1.3261,1.9712,-0.5129,-0.1832,0.0327
0.5843,-1.1208,0.6121,-0.4838,-0.122
-0.2066,-0.1791,1.3297,-0.4942,0.0572
-0.0336,-0.18,0.6147,0.6447,0.1906
-1.7779,-1.957,0.7102,1.4259,-0.6859
-0.5144,-0.2521,0.149,0.219,-0.1565
-0.7515,0.1945,0.2068,1.1645,0.1021
-1.5416,0.9736,-0.2967,1.1541,-0.0149
-0.3823,0.2769,-0.7008,0.5181,-0.0749
-1.2232,0.9668,-0.2445,-0.5187,-0.2423
-0.8099,0.8531,1.3186,-1.3133,0.0105
0.3846,-1.221,0.3145,0.7719,-0.0228
0.5222,-0.9388,0.5344,-0.5864,-0.1238
-1.0649,0.7701,-0.1708,0.7568,0.0172
-0.02,0.2649,-0.6563,1.4208,0.2206
-0.4652,-0.0211,-0.7895,0.7692,-0.1555
-0.0431,0.3475,-0.3382,0.098,0.0393
0.1415,-0.013,-0.4469,1.0039,0.1481
-0.048,-1.1191,0.9478,-1.674,-0.4825
0.2508,-0.1519,-0.3194,-0.1249,-0.058
0.4328,0.5544,0.685,0.6338,0.5598
