题项,F1,F2,F3,F4
交通噪声影响,0.169,0.141,0.677,0.179
周围人生活噪声影响,0.156,0.267,0.074,0.632
装修/施工噪声影响,0.192,0.051,0.843,-0.009
商业经营噪声影响,-0.017,0.12,0.091,0.79
公共活动噪声影响,-0.052,0.119,0.72,0.274
动物噪声影响,0.063,-0.025,0.238,0.757
噪声入睡情况影响,0.737,0.234,0.098,-0.02
噪声中断睡眠影响,0.12,0.736,0.081,0.099
噪声注意力影响,0.846,0.121,0.083,0.027
噪声身边关系影响,0.027,0.795,0.063,0.137
噪声精神状态影响,0.866,0.053,0.061,0.036
噪声对身体健康影响,0.135,0.804,0.115,0.11
噪声对听觉影响,0.722,0.122,0.114,0.183
噪声对极端情绪影响,0.256,0.77,0.092,0.032
